Attrition,Employee Number,emp no,Gender,Job Role,Over Time,Job Satisfaction,Years At Company,Education,Environment Satisfaction,Hourly Rate,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
Yes,1,STAFF-1,Female,Sales Executive,Yes,4,6,Associates Degree,2,94,2,4,5993,19479,8,11,3,1,80,0,8,1,6,4,0,5
No,2,STAFF-2,Male,Research Scientist,No,2,10,High School,3,61,2,2,5130,24907,1,23,4,4,80,1,10,3,10,7,1,7
Yes,4,STAFF-4,Male,Laboratory Technician,Yes,3,0,Associates Degree,4,92,1,3,2090,2396,6,15,3,2,80,0,7,3,0,0,0,0
No,5,STAFF-5,Female,Research Scientist,Yes,3,8,Master's Degree,4,56,1,3,2909,23159,1,11,3,3,80,0,8,3,8,7,3,0
No,7,STAFF-7,Male,Laboratory Technician,No,2,2,High School,1,40,1,2,3468,16632,9,12,3,4,80,1,6,3,2,2,2,2
No,8,STAFF-8,Male,Laboratory Technician,No,4,7,Associates Degree,4,79,1,4,3068,11864,0,13,3,3,80,0,8,2,7,7,3,6
No,10,STAFF-10,Female,Laboratory Technician,Yes,1,1,Bachelor's Degree,3,81,1,1,2670,9964,4,20,4,1,80,3,12,2,1,0,0,0
No,11,STAFF-11,Male,Laboratory Technician,No,3,1,High School,4,67,1,3,2693,13335,1,22,4,2,80,1,1,3,1,0,0,0
No,12,STAFF-12,Male,Manufacturing Director,No,3,9,Bachelor's Degree,4,44,3,3,9526,8787,0,21,4,2,80,0,10,3,9,7,1,8
No,13,STAFF-13,Male,Healthcare Representative,No,3,7,Bachelor's Degree,3,94,2,3,5237,16577,6,13,3,2,80,2,17,2,7,7,7,7
No,14,STAFF-14,Male,Laboratory Technician,No,2,5,Bachelor's Degree,1,84,1,2,2426,16479,0,13,3,3,80,1,6,3,5,4,0,3
No,15,STAFF-15,Female,Laboratory Technician,Yes,3,9,Associates Degree,4,49,2,3,4193,12682,0,12,3,4,80,0,10,3,9,5,0,8
No,16,STAFF-16,Male,Research Scientist,No,3,5,High School,1,31,1,3,2911,15170,1,17,3,4,80,1,5,2,5,2,4,3
No,18,STAFF-18,Male,Laboratory Technician,No,4,2,Associates Degree,2,93,1,4,2661,8758,0,11,3,3,80,1,3,3,2,2,1,2
